Image,Points,Mean_Top_Error,Mean_Bottom_Error,Mean_Overall_Error,Max_Top_Error,Max_Bottom_Error
00271e61-86e3-453f-8101-fe906ae927eb.png,9,15.112084457658417,21.59591340263999,18.353998930149203,55.854278128117045,108.60927181043127
0035c7c8-30ad-454a-8daf-65120d52039c.png,16,60.67805109005353,41.56725269835744,51.12265189420548,234.21740646714863,197.64880236611305
00968060-90f7-4073-a4ad-4fe04066deb1.png,10,27.814822207677203,47.86128443055561,37.838053319116405,93.60237086828056,108.06892629242023
00a6ce88-7340-40fd-b17e-8abb9215933d.png,8,20.92727979224748,78.20406488341354,49.565672337830506,43.32568416502647,125.12647836322705
014d95e6-0ada-4849-a54f-a64982789f20.png,16,20.51432854607256,24.3825429869734,22.44843576652298,67.5315591164615,108.76270104077352
0160fd20-5ca8-4d40-8946-c2febd06bee3.png,9,18.16961499821942,29.003329259092027,23.58647212865572,101.16682503406196,105.02347258591155
01fb2e80-e9f3-4abe-93ab-e223acb62a9b.png,8,17.30882534062667,18.0336631580561,17.671244249341385,89.46133780631726,73.15106500750841
025ab96e-5c83-456f-8a3a-b63b19702234.png,8,49.036588373895185,44.33003685650039,46.683312615197785,113.9319692071287,113.9319692071287
0280a9da-de0c-44aa-bed1-2e13632c3e08.png,14,24.81311815737261,9.282131549134265,17.04762485325344,123.61511092049454,60.19234533063451
028f3cbb-5928-4b13-a1ae-63c598f19591.png,12,42.623990735528906,17.27813385510052,29.951062295314713,100.23618170960481,101.27529283160584
035b6e66-06fc-49f1-9474-7ee42dcf31f9.png,5,3.948337093560002,1.0728488661757383,2.5105929798678703,17.137084858617527,4.161219255057745
038f9110-b003-474d-b480-bfa3502a2a49.png,13,35.036047239871905,54.653912667367265,44.844979953619585,150.09145267595142,113.02055185717614
045a42a8-4893-4ca4-948f-f7b20dfe84de.png,10,34.22267892824868,9.313164210978599,21.76792156961364,120.12299859278448,62.877001407215516
057e1100-43c4-4160-afac-8fb3237278ef.png,5,404.69279494890134,548.5347885629437,476.6137917559225,712.5469782895302,668.2031901657306
06875c22-109b-44ef-9a04-bcb9f4d989b6.png,18,10.71331039207727,18.609213525011118,14.661261958544195,35.807948194169626,103.38931497380975
073aaf9e-bdaa-4b35-8b06-2b620aa92584.png,12,42.16424616771929,37.370122165654934,39.76718416668711,108.97620888967046,121.70067535360783
07ed6dc3-ca4b-43fa-b1be-e9151281c44c.png,18,23.488868524747645,15.89032392440146,19.689596224574554,64.8544821669717,54.42043397778721
08627366-7e97-4a92-8d6a-e5e8b66ebdaa.png,48,62.037112229429304,35.72806630107863,48.882589265253955,150.56811774349416,126.71392769187213
08886fb9-16bd-45e8-a674-ede29a253ce9.png,15,15.3794941231798,29.740890619437682,22.560192371308744,67.34739328738311,81.71245439169371
088fc8cd-722e-4b22-8f2a-14aea3cf1094.png,25,40.43999918823505,38.1493582366629,39.29467871244898,137.00539585743843,132.68414202816706
090db99b-b782-44a8-8bac-75bede162c82.png,6,10.753466889338391,17.90587748700509,14.329672188171742,25.560361337073175,42.817200006280586
0972ecd2-4cfa-4025-8b00-f2305e1e8bf5.png,10,43.81928671785954,51.71282574817203,47.76605623301578,120.79991389787057,115.22242328523447
0a18d4f7-5241-4dde-8b8b-38b7e25c5b4b.png,7,16.019221686337477,12.177405071722623,14.09831337903005,55.53576501756629,43.084753518524536
0ac7d365-2a94-4f67-bad4-b34b4605ddde.png,10,29.24085120829391,38.584772240458186,33.91281172437605,115.33904792360471,115.33904792360465
0aef7138-f016-499d-9d76-22375667037b.png,16,31.063669581134945,40.88221175389723,35.97294066751609,113.7085210012192,134.05934988979493
0af0ad7a-6383-4508-90d5-f8161ec72917.png,39,27.629969840967508,26.08124643870364,26.855608139835574,136.7469560862486,108.66394390088465
0bd2a986-cf54-47be-b40b-334d5f38fb6a.png,6,52.207908995897434,110.74580481826433,81.47685690708089,170.96273953067316,199.95701579778392
0ce60456-8a86-423f-ba97-582a1cd85f7a.png,21,28.580569298777057,24.03738500343901,26.30897715110803,85.69748841490997,127.22273059184144
0cfe73fe-4e80-4c9a-ba48-15c4eff7da56.png,14,37.772957570979315,42.95974771546303,40.366352643221184,135.03487431492607,94.73916626703414
0d2f5b58-f82d-4670-85ce-12014d3a8f64.png,54,42.794402576434905,38.2788683065588,40.53663544149685,150.10946752702642,148.89053247297358
0d385366-30cb-4b2b-ba20-75a9f669d092.png,17,11.575600210198044,19.562750349412596,15.56917527980532,53.578864296928316,131.55590388252887
0db5874c-cf6a-4a0f-bbb7-e6e093cd7e5f.png,5,39.386541727937946,20.954683471153736,30.17061259954584,104.98001308810225,58.36615506177421
0e6dd7e5-cb79-424c-8fea-b0793024741b.png,12,19.426193578025117,23.28343242160628,21.354812999815696,69.95315121701162,81.18372177406985
0ebd56de-50df-4c4c-98ab-9832aff6e063.png,9,23.033279939598273,20.821252867076712,21.927266403337494,115.7886809280925,122.46678018416014
0ec7d9bf-c75f-475e-a910-b465f8a82595.png,16,29.320209527311334,13.17972878893001,21.24996915812067,181.1982088654081,44.42249632715436
0f65cb78-f5bb-4863-b810-1807f5cbf0d0.png,8,10.381334613225595,72.02126930968186,41.20130196145372,14.109129153784409,148.07107685395187
0f910561-482e-4bf4-a5b4-1a1155dd0b63.png,9,19.86039813924846,27.453107737760938,23.6567529385047,62.21653519595429,75.99525240253678
0f9fe4c3-b1a5-49f5-b82f-b2bb980e55bb.png,4,5.902937704079605,109.32821088549608,57.61557429478784,14.610407506627382,133.8835994647028
10c8cc1e-c2c5-4a12-9514-0c331c66b87e.png,10,52.15680726839789,38.75265219421671,45.454729731307296,168.7406033740291,122.99258576078023
10ed83bc-748f-4870-8f10-f6c3ded96097.png,22,39.164385323291086,31.001431757753938,35.0829085405225,99.78626120984416,110.11296307337284
